"day","1","2","3","4","5","6","7","8","9","10","11","12"
2020-03-24,8979.42857142857,14421.1428571429,3077.71428571429,8351.28571428571,20935,10740,0,1146.71428571429,3754.71428571429,12615.4285714286,17673.5714285714,767.714285714286
2020-03-25,8383.14285714286,12896.5714285714,2866.71428571429,7850.42857142857,18153.4285714286,8141.57142857143,0,1083.14285714286,3556.85714285714,11956.5714285714,16240.5714285714,699.571428571429
2020-03-26,7808.14285714286,11273.4285714286,2664.57142857143,7366.14285714286,15669,5711.28571428571,0,1024.85714285714,3388.71428571429,11327,14759.8571428571,622.285714285714
2020-03-27,7727.28571428571,10603.1428571429,2554,7200.57142857143,14788.5714285714,4445.71428571429,0,1016.14285714286,3317,11394.2857142857,14362.2857142857,593.857142857143
2020-03-28,8316.28571428571,11757.1428571429,2753.28571428571,7734.71428571429,15999.8571428571,4839.57142857143,0,1088.28571428571,3434.28571428571,12066.4285714286,15718.1428571429,685.285714285714
2020-03-29,8044.42857142857,11462,2645,7477.85714285714,15422,4636.42857142857,0,1057,3360.85714285714,11509.7142857143,15306.4285714286,649.571428571429
2020-03-30,7751.85714285714,10961.8571428571,2532.28571428571,7206.85714285714,15118.2857142857,4303.42857142857,0,997.142857142857,3326.42857142857,11044.2857142857,15028.8571428571,622.571428571429
2020-03-31,7867,11178.2857142857,2533.57142857143,7232.57142857143,15396.8571428571,4260.42857142857,0,993,3415.71428571429,11433.5714285714,15208.5714285714,620.714285714286
2020-04-01,8078.28571428571,11591,2597.28571428571,7450.42857142857,15872.1428571429,4364.57142857143,0,1023.57142857143,3501.28571428571,11734,15519.8571428571,651.285714285714
2020-04-02,8392.57142857143,12252.7142857143,2705.57142857143,7740.57142857143,16455.8571428571,4513,0,1050.85714285714,3546.57142857143,12264,16019.7142857143,705.714285714286
2020-04-03,8571.71428571429,12514.8571428571,2774.14285714286,7990.71428571429,16550.8571428571,4588.28571428571,0,1067.14285714286,3550.14285714286,12551.7142857143,16298.1428571429,723.285714285714
2020-04-04,8482.71428571429,12405,2796.42857142857,8021.42857142857,16591.8571428571,4566.28571428571,0,1068.85714285714,3594,12266.5714285714,16332.8571428571,713.142857142857
2020-04-05,9304.57142857143,14022.1428571429,3111.14285714286,8830.28571428571,18362,5220.42857142857,0,1178.85714285714,3800.42857142857,13049.5714285714,18006.7142857143,849.142857142857
2020-04-06,9992,15087.1428571429,3367.57142857143,9431.85714285714,19484.7142857143,5724.42857142857,0,1284.42857142857,3937.14285714286,13768.8571428571,18986.4285714286,941
2020-04-07,10371.8571428571,15484.8571428571,3536.28571428571,9877.85714285714,20150.5714285714,5946,0,1372.28571428571,4025.42857142857,13639.8571428571,20054.2857142857,1020.28571428571
2020-04-08,10578.1428571429,15835,3690.85714285714,10251.4285714286,20923.5714285714,6200.71428571429,0,1415.28571428571,4033.42857142857,13664,20727,1056.71428571429
2020-04-09,11344.7142857143,16055.5714285714,3858.28571428571,10641.5714285714,21697,6480.57142857143,0,1463.42857142857,4131.28571428571,13683,21575.8571428571,1074.85714285714
2020-04-10,11952.5714285714,16964,3871.57142857143,10552.1428571429,21685.4285714286,6574.28571428571,0,1451.71428571429,4125,13693,21092.2857142857,1124.28571428571
2020-04-11,12689.2857142857,17378.7142857143,3971,10830.1428571429,22287.5714285714,6775.57142857143,0,1485.14285714286,4155.57142857143,13778.7142857143,21608.5714285714,1171.28571428571
2020-04-12,12960.7142857143,17524.1428571429,4007.85714285714,10899.2857142857,22282.8571428571,6848.14285714286,0,1502,4126.14285714286,13798,21515,1195.85714285714
2020-04-13,13102,18128,3985.85714285714,10834.1428571429,22080.2857142857,6874.71428571429,0,1479.85714285714,4028.57142857143,13775,21012,1226.14285714286
2020-04-14,13556.5714285714,17700.1428571429,3945.42857142857,10653,21806.2857142857,6847.57142857143,0,1438.42857142857,3997.14285714286,13615.4285714286,20428,1184.14285714286
2020-04-15,14238,17725.1428571429,3923,10624.2857142857,21829,6832.57142857143,0,1425.14285714286,4011.28571428571,13830.1428571429,20105.1428571429,1197
2020-04-16,14250.7142857143,17975.2857142857,3916.71428571429,10602.7142857143,21871.2857142857,6880.42857142857,0,1414,3955.85714285714,13874.2857142857,19835.4285714286,1226.42857142857
2020-04-17,14432.1428571429,17918.1428571429,4076.28571428571,11157.7142857143,22838.4285714286,7035,0,1490.14285714286,4014.42857142857,13923.7142857143,20778.8571428571,1234
2020-04-18,14430.8571428571,18438.4285714286,4115.42857142857,11414.5714285714,23368.1428571429,7136.57142857143,0,1498,3964.71428571429,14137,20518.5714285714,1241.28571428571
2020-04-19,14507.2857142857,18732.2857142857,4168.71428571429,11600,23703.1428571429,7238.85714285714,0,1515.42857142857,3983,14282.2857142857,20502.4285714286,1254.28571428571
2020-04-20,14830.1428571429,18174.7142857143,4198.42857142857,11821.4285714286,23831.4285714286,7252.85714285714,0,1545.42857142857,4034,14216.7142857143,20792,1223.85714285714
2020-04-21,14728.1428571429,18388.1428571429,4230.28571428571,12064.1428571429,24239,7366.28571428571,0,1585.14285714286,3974.42857142857,14318.1428571429,20352.4285714286,1242.42857142857
2020-04-22,14795.4285714286,18847.8571428571,4342.14285714286,12320.1428571429,24603.4285714286,7564.42857142857,0,1647.71428571429,4031,14346.8571428571,20655.4285714286,1276.57142857143
2020-04-23,14865.1428571429,19165.8571428571,4430.28571428571,12588.7142857143,25971.7142857143,8884.71428571429,0,1691.85714285714,4158.57142857143,13603.7142857143,20746.2857142857,1279
2020-04-24,14581.2857142857,19135,4475,12729,26902,9804.57142857143,0,1703.42857142857,4173.28571428571,11892.5714285714,20585.2857142857,1295.71428571429
2020-04-25,14074,19240.2857142857,4540.71428571429,12772.2857142857,27596.8571428571,10675.7142857143,0,1713.42857142857,4204.14285714286,10227.8571428571,20484.5714285714,1281.28571428571
2020-04-26,13923.8571428571,19325.5714285714,4550.28571428571,12819.5714285714,27444.1428571429,11608.2857142857,0,1731,4262.14285714286,8610.57142857143,20424.2857142857,1270.42857142857
2020-04-27,14276.4285714286,20049.5714285714,4763.42857142857,13352.1428571429,27983.2857142857,12811,0,1801.28571428571,4505.71428571429,7160,21086,1318.71428571429
2020-04-28,13631.8571428571,19246.5714285714,4587.57142857143,12761.2857142857,26574.1428571429,12998.8571428571,0,1694.85714285714,4521.57142857143,5409.42857142857,20626,1236.57142857143
2020-04-29,13117.4285714286,18245.8571428571,4411,12287.7142857143,25438.7142857143,13492.4285714286,0,1584.42857142857,4513.28571428571,3651.28571428571,19911.2857142857,1140.71428571429
