"week","knr","2019","2020","difference_people","percrank","0","color"
"16",2,180258,131126,-49132,2,0,"lightblue"
"16",3,28697,29181,484,5,0,"lightblue"
"16",4,101943,81200,-20743,1,0,"lightblue"
"16",5,235342,165922,-69420,1,0,"lightblue"
"16",6,67400,50672,-16728,2,0,"lightblue"
"16",8,10759,10608,-151,2,0,"lightblue"
"16",9,80290,27881,-52409,4,0,"lightblue"
"16",10,22925,99976,77051,10,0,"lightblue"
"16",11,231248,143517,-87731,2,0,"lightblue"
"16",12,4239,8780,4541,7,0,"lightblue"
"17",1,168439,97467,-70972,4,0,"lightblue"
"17",2,137496,135279,-2217,6,0,"lightblue"
"17",3,23366,31852,8486,8,0,"lightblue"
"17",4,86021,89737,3716,3,0,"lightblue"
"17",5,204908,192109,-12799,4,0,"lightblue"
"17",6,55634,81258,25624,8,0,"lightblue"
"17",8,8310,12117,3807,7,0,"lightblue"
"17",9,73108,29835,-43273,5,0,"lightblue"
"17",10,20285,60274,39989,9,0,"lightblue"
"17",11,189403,142970,-46433,5,0,"lightblue"
"17",12,3208,8893,5685,8,0,"lightblue"
"18",1,186764,74025,-112739,2,0,"lightblue"
"18",2,111884,93496,-18388,6,0,"lightblue"
"18",3,23480,22655,-825,5,0,"lightblue"
"18",4,87116,63345,-23771,1,0,"lightblue"
"18",5,217972,114562,-103410,1,0,"lightblue"
"18",6,52410,70539,18129,8,0,"lightblue"
"18",8,7741,7919,178,2,0,"lightblue"
"18",9,72858,30291,-42567,6,0,"lightblue"
"18",10,19281,16896,-2385,4,0,"lightblue"
"18",11,192388,113500,-78888,3,0,"lightblue"
"18",12,3206,5239,2033,5,0,"lightblue"
"19",1,213318,92255,-121063,1,0,"lightblue"
"19",2,127187,148581,21394,8,0,"lightblue"
"19",3,24372,33316,8944,8,0,"lightblue"
"19",4,94778,96675,1897,3,0,"lightblue"
"19",5,221212,159891,-61321,1,0,"lightblue"
"19",6,53700,96650,42950,10,0,"lightblue"
"19",8,9605,13165,3560,7,0,"lightblue"
"19",9,81572,32604,-48968,5,0,"lightblue"
"19",10,19001,21678,2677,8,0,"lightblue"
"19",11,222483,148088,-74395,3,0,"lightblue"
"19",12,3688,8438,4750,7,0,"lightblue"
"20",1,222455,110039,-112416,2,0,"lightblue"
"20",2,150967,136932,-14035,6,0,"lightblue"
"20",3,30147,31640,1493,5,0,"lightblue"
"20",4,121660,98599,-23061,1,0,"lightblue"
"20",5,252392,214537,-37855,3,0,"lightblue"
"20",6,72775,86520,13745,7,0,"lightblue"
"20",8,12532,12439,-93,2,0,"lightblue"
"20",9,84798,33808,-50990,4,0,"lightblue"
"20",10,21973,19632,-2341,5,0,"lightblue"
"20",11,232283,161834,-70449,4,0,"lightblue"
"20",12,5088,7245,2157,5,0,"lightblue"
"21",1,207859,121361,-86498,3,0,"lightblue"
"21",2,174191,189019,14828,8,0,"lightblue"
"21",3,27539,37631,10092,8,0,"lightblue"
"21",4,110459,114760,4301,4,0,"lightblue"
"21",5,235437,250699,15262,6,0,"lightblue"
"21",6,54268,96900,42632,9,0,"lightblue"
"21",8,11057,15368,4311,8,0,"lightblue"
"21",9,84050,34315,-49735,5,0,"lightblue"
"21",10,21625,19056,-2569,4,0,"lightblue"
"21",11,229411,190929,-38482,6,0,"lightblue"
"21",12,4374,9111,4737,7,0,"lightblue"
"22",1,197415,145187,-52228,6,0,"lightblue"
"22",2,238272,198922,-39350,3,0,"lightblue"
"22",3,28772,44097,15325,9,0,"lightblue"
"22",4,99397,137791,38394,7,0,"lightblue"
"22",5,264294,288436,24142,7,0,"lightblue"
"22",6,84730,113768,29038,9,0,"lightblue"
"22",8,11184,18113,6929,10,0,"lightblue"
"22",9,79923,42873,-37050,7,0,"lightblue"
"22",10,23896,14045,-9851,2,0,"lightblue"
"22",11,217160,203380,-13780,8,0,"lightblue"
"22",12,4787,9697,4910,7,0,"lightblue"
"23",1,193138,114815,-78323,3,0,"lightblue"
"23",2,253385,161776,-91609,1,0,"lightblue"
"23",3,35029,32976,-2053,5,0,"lightblue"
"23",4,89952,106837,16885,5,0,"lightblue"
"23",5,303621,245592,-58029,2,0,"lightblue"
"23",6,82762,87281,4519,5,0,"lightblue"
"23",8,14890,13320,-1570,1,0,"lightblue"
"23",9,81717,36972,-44745,5,0,"lightblue"
"23",10,21040,12025,-9015,2,0,"lightblue"
"23",11,219089,158657,-60432,5,0,"lightblue"
"23",12,6193,7046,853,3,0,"lightblue"
"24",1,195510,138394,-57116,5,0,"lightblue"
"24",2,197484,165922,-31562,4,0,"lightblue"
"24",3,29419,36508,7089,7,0,"lightblue"
"24",4,66215,122170,55955,8,0,"lightblue"
"24",5,266218,286821,20603,7,0,"lightblue"
"24",6,70900,96486,25586,8,0,"lightblue"
"24",8,11791,14324,2533,5,0,"lightblue"
"24",9,80633,38142,-42491,6,0,"lightblue"
"24",10,20476,19111,-1365,5,0,"lightblue"
"24",11,219054,174804,-44250,5,0,"lightblue"
"24",12,5021,7190,2169,5,0,"lightblue"
"25",1,196417,133090,-63327,5,0,"lightblue"
"25",2,281148,173696,-107452,1,0,"lightblue"
"25",3,34238,37166,2928,7,0,"lightblue"
"25",4,86955,125924,38969,7,0,"lightblue"
"25",5,259312,267811,8499,6,0,"lightblue"
"25",6,103450,92583,-10867,3,0,"lightblue"
"25",8,15101,15044,-57,2,0,"lightblue"
"25",9,87357,37919,-49438,5,0,"lightblue"
"25",10,19309,20130,821,6,0,"lightblue"
"25",11,255418,170844,-84574,3,0,"lightblue"
"25",12,6347,8030,1683,4,0,"lightblue"
"26",1,189453,146024,-43429,7,0,"lightblue"
"26",2,481645,283914,-197731,0,0,"lightblue"
"26",3,37116,30326,-6790,2,0,"lightblue"
"26",4,98531,156229,57698,9,0,"lightblue"
"26",5,327256,306515,-20741,3,0,"lightblue"
"26",6,123900,81968,-41932,1,0,"lightblue"
"26",8,16677,18488,1811,5,0,"lightblue"
"26",9,74087,40948,-33139,7,0,"lightblue"
"26",10,22822,22881,59,6,0,"lightblue"
"26",11,271536,198130,-73406,4,0,"lightblue"
"26",12,6124,9447,3323,6,0,"lightblue"
"27",1,165241,142920,-22321,9,0,"lightblue"
"27",2,313780,280573,-33207,4,0,"lightblue"
"27",3,26242,28824,2582,6,0,"lightblue"
"27",4,94714,147340,52626,8,0,"lightblue"
"27",5,296967,298399,1432,5,0,"lightblue"
"27",6,78217,80955,2738,4,0,"lightblue"
"27",8,16061,18119,2058,5,0,"lightblue"
"27",9,83998,42048,-41950,6,0,"lightblue"
"27",10,21206,20403,-803,6,0,"lightblue"
"27",11,245354,191671,-53683,5,0,"lightblue"
"27",12,6017,9086,3069,6,0,"lightblue"
"28",1,152438,156571,4133,10,0,"lightblue"
"28",2,218030,285987,67957,9,0,"lightblue"
"28",3,24638,30608,5970,7,0,"lightblue"
"28",4,87977,159923,71946,10,0,"lightblue"
"28",5,290386,312895,22509,7,0,"lightblue"
"28",6,66979,72639,5660,5,0,"lightblue"
"28",8,15623,20394,4771,9,0,"lightblue"
"28",9,82625,45011,-37614,6,0,"lightblue"
"28",10,22908,21973,-935,6,0,"lightblue"
"28",11,255551,200145,-55406,5,0,"lightblue"
"28",12,5317,9812,4495,6,0,"lightblue"
"29",1,172193,140367,-31826,8,0,"lightblue"
"29",2,349316,238659,-110657,1,0,"lightblue"
"29",3,23848,25594,1746,6,0,"lightblue"
"29",4,85288,131952,46664,8,0,"lightblue"
"29",5,273593,269068,-4525,5,0,"lightblue"
"29",6,66524,74816,8292,6,0,"lightblue"
"29",8,13525,15228,1703,5,0,"lightblue"
"29",9,73550,40937,-32613,7,0,"lightblue"
"29",10,20154,19058,-1096,5,0,"lightblue"
"29",11,203466,171591,-31875,6,0,"lightblue"
"30",1,143192,129972,-13220,9,0,"lightblue"
"30",2,289413,249180,-40233,3,0,"lightblue"
"30",3,23532,25652,2120,6,0,"lightblue"
"30",4,75225,134850,59625,9,0,"lightblue"
"30",5,259257,262661,3404,5,0,"lightblue"
"30",6,60578,84148,23570,8,0,"lightblue"
"30",8,11166,15409,4243,8,0,"lightblue"
"30",9,53545,41033,-12512,9,0,"lightblue"
"30",10,15678,18531,2853,8,0,"lightblue"
"30",11,106351,164097,57746,10,0,"lightblue"
"31",1,154768,118022,-36746,8,0,"lightblue"
"31",2,145859,296540,150681,10,0,"lightblue"
"31",3,27294,23816,-3478,5,0,"lightblue"
"31",4,63465,129154,65689,9,0,"lightblue"
"31",5,232434,248337,15903,6,0,"lightblue"
"31",6,67109,79986,12877,7,0,"lightblue"
"31",8,9766,14453,4687,8,0,"lightblue"
"31",9,69647,40593,-29054,8,0,"lightblue"
"31",10,20393,17993,-2400,4,0,"lightblue"
"31",11,124375,150553,26178,9,0,"lightblue"
"32",1,177560,140813,-36747,8,0,"lightblue"
"32",2,217671,250440,32769,9,0,"lightblue"
"32",3,27881,22796,-5085,3,0,"lightblue"
"32",4,66795,121140,54345,8,0,"lightblue"
"32",5,237992,254700,16708,7,0,"lightblue"
"32",6,67712,77668,9956,6,0,"lightblue"
"32",8,10205,13360,3155,6,0,"lightblue"
"32",9,75542,42525,-33017,7,0,"lightblue"
"32",10,17441,18029,588,6,0,"lightblue"
"32",11,127756,171602,43846,9,0,"lightblue"
"33",1,202132,141670,-60462,5,0,"lightblue"
"33",2,213649,300162,86513,10,0,"lightblue"
"33",3,35149,29098,-6051,2,0,"lightblue"
"33",4,78378,149664,71286,10,0,"lightblue"
"33",5,268082,291465,23383,7,0,"lightblue"
"33",6,79071,92716,13645,7,0,"lightblue"
"33",8,12962,18636,5674,9,0,"lightblue"
"33",9,83273,42108,-41165,6,0,"lightblue"
"33",10,21138,18365,-2773,3,0,"lightblue"
"33",11,159684,171865,12181,8,0,"lightblue"
